Id;Title;Section;IsHorizontal
IRQ12;Ali Jasim;Iraq;false
IRQ13;Team Photo;Iraq;true
IRQ14;Youssef Amyn;Iraq;false
IRQ15;Aimar Sher;Iraq;false
IRQ16;Marko Farji;Iraq;false
IRQ17;Osama Rashid;Iraq;false
IRQ18;Ali Al-Hamadi;Iraq;false
IRQ19;Aymen Hussein;Iraq;false
IRQ20;Mohanad Ali;Iraq;false
NOR1;Emblem;Norway;false
NOR2;Orjan Nyland;Norway;false
NOR3;Julian Ryerson;Norway;false
NOR4;Leo Ostigård;Norway;false
NOR5;Kristoffer Vassbakk Ajer;Norway;false
NOR6;Marcus Holmgren Pedersen;Norway;false
NOR7;David Møller Wolfe;Norway;false
NOR8;Torbjørn Heggem;Norway;false
NOR9;Morten Thorsby;Norway;false
NOR10;Martin Ødegaard;Norway;false
NOR11;Sander Berge;Norway;false
NOR12;Andreas Schjelderup;Norway;false
NOR13;Team Photo;Norway;true
NOR14;Patrick Berg;Norway;false
NOR15;Erling Haaland;Norway;false
NOR16;Alexander Sørloth;Norway;false
NOR17;Aron Dønnum;Norway;false
NOR18;Jorgen Strand Larsen;Norway;false
NOR19;Antonio Nusa;Norway;false
NOR20;Oscar Bobb;Norway;false
ARG1;Emblem;Argentina;false
ARG2;Emiliano Martinez;Argentina;false
ARG3;Nahuel Molina;Argentina;false
ARG4;Cristian Romero;Argentina;false
ARG5;Nicolas Otamendi;Argentina;false
ARG6;Nicolas Tagliafico;Argentina;false
ARG7;Leonardo Balerdi;Argentina;false
